sku,csv_filename,real_filename,real_url,status
"pdashboard-switches-instruments-lwb-scii-lca1","s2_lwb_dashboard_switches_lca1.jpg","S2 LWB Dashboard Switches LCA1 (1).jpg","https://www.introcar.com/media/lookbookslider/S2 LWB Dashboard Switches LCA1 (1).jpg","downloaded"
"pdashboard-switches-instruments-silver-cloud-ii-sxc1","s2_dashboard_switches_sxc1.jpg","S2 Dashboard Switches SXC1 (1).jpg","https://www.introcar.com/media/lookbookslider/S2 Dashboard Switches SXC1 (1).jpg","downloaded"
"pdashboard-switches-instruments-lwb-scii-lcc46","s2_lwb_dashboard_switches_lcc46.jpg","S2 LWB Dashboard Switches LCC46 (1).jpg","https://www.introcar.com/media/lookbookslider/S2 LWB Dashboard Switches LCC46 (1).jpg","downloaded"
"pdashboard-switches-instruments-silver-cloud-ii-szd345","s2_dashboard_switches_szd347.jpg","S2 Dashboard Switches SZD347.jpg","https://www.introcar.com/media/lookbookslider/S2 Dashboard Switches SZD347.jpg","downloaded"
"pdashboard-switches-instruments-sciii-b2av","s3_dashboard_switches_b2av.jpg","S3 Dashboard Switches B2AV.jpg","https://www.introcar.com/media/lookbookslider/S3 Dashboard Switches B2AV.jpg","downloaded"
"pdashboard-switches-instruments-s3-b206fg","s3_dashboard_switches_b206fg.jpg","S3 Dashboard Switches B206FG.jpg","https://www.introcar.com/media/lookbookslider/S3 Dashboard Switches B206FG.jpg","downloaded"
"pstributor-usa-japan-chassis-numbers-01517-06363-not-turbo-p8379","distributor_01517-06363_not_turbo_usa_japan_.jpg","1461141852-84368600.jpg","https://www.introcar.com/media/lookbookslider/1461141852-84368600.jpg","downloaded"
"Door & Wing/Fender Mirrors, Silver Cloud","mirrors_silver_cloud_s-type_3.jpg","Mirrors, Silver Cloud & S-Type 3 (2).jpg","https://www.introcar.com/media/lookbookslider/Mirrors, Silver Cloud & S-Type 3 (2).jpg","downloaded"
"pdoor-central-locking-switches-p10610","cdl_switches_spirit.jpg","1479563662-66780500.jpg","https://www.introcar.com/media/lookbookslider/1479563662-66780500.jpg","downloaded"
"pr-courtesy-light-switches-ecu-chassis-numbers-01001-29290-p9431","courtesy_lights_1000.jpg","1473059789-76887900.jpg","https://www.introcar.com/media/lookbookslider/1473059789-76887900.jpg","downloaded"
"pdoor-courtesy-light-switches-ecu-chassis-numbers-30000-on-p9432","courtesy_lights_30000.jpg","1473059903-43687300.jpg","https://www.introcar.com/media/lookbookslider/1473059903-43687300.jpg","downloaded"
"psy-light-switches-chassis-numbers-05037-29290-2-door-cars-p9477","courtesy_light_switch_corniche_.jpg","1473145773-94246300.jpg","https://www.introcar.com/media/lookbookslider/1473145773-94246300.jpg","downloaded"
