SKU,Parent SKU,File
PD57492PDKIT-X,PD57492PDKIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD57492PDKIT_processed.mp4
PF27287PB-X,PF27287PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PF27287PB_processed.mp4
PG108126PA-X,PG108126PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PG108126PA_processed.mp4
PH32862PA-X,PH32862PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PH32862PA_processed.mp4
PH32863PA-X,PH32863PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PH32863PA_processed.mp4
PJ20478PA-X,PJ20478PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PJ20478PA_processed.mp4
PP112816PA-X,PP112816PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP112816PA_processed.mp4
PP30472PB-X,PP30472PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP30472PB_processed.mp4
PP57568PA-X,PP57568PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP57568PA_processed.mp4
PP57569PA-X,PP57569PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP57569PA_processed.mp4
PP59815PAPLA-X,PP59815PAPLA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP59815PAPLA_processed.mp4
PSTNRGST3-X,PSTNRGST3,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PSTNRGST3_processed.mp4
PW50191-X,PW50191,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PW50191_processed.mp4
PW50220-X,PW50220,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PW50220_processed.mp4
RB4357MPW-X,RB4357MPW,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RB4357MPW_processed.mp4
RD3727-X,RD3727,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RD3727_processed.mp4
RD6598-X,RD6598,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RD6598_processed.mp4
RE12659-X,RE12659,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE12659_processed.mp4
RE12970-X,RE12970,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE12970_processed.mp4
RE15179-X,RE15179,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE15179_processed.mp4
RE17796-X,RE17796,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE17796_processed.mp4
RE25265-X,RE25265,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE25265_processed.mp4
RE25307-X,RE25307,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE25307_processed.mp4
RE2602-X,RE2602,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE2602_processed.mp4
RE9906NF-X,RE9906NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE9906NF_processed.mp4
RF3440-X,RF3440,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF3440_processed.mp4
RF5373KIT-X,RF5373KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF5373KIT_processed.mp4
RF7157-X,RF7157,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF7157_processed.mp4
