"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"235/70/15WW-X","TIRE 235 / 70 / 15 WHITE WALL (AVON)","31","£6765.50","£243.79","£7009.29","£5832.12","£933.38","13.80"
"7202631-A","WINDSCREEN, GREEN, CBDAS/HUD RAIN SEN.","2","£6990.56","£0.00","£6990.56","£5541.28","£1449.28","20.73"
"UR71625-X","PUMP TO RACK STEERING HOSE (LEFT HAND DRIVE)","36","£6351.34","£638.95","£6990.29","£3349.44","£3001.90","47.26"
"UR23318-X","REAR SUBFRAME MOUNTING BUSH","34","£6318.99","£661.20","£6980.19","£87.19","£6231.80","98.62"
"PF56643PB-X","FUEL PRESSURE TRANSDUCER","17","£6309.82","£646.21","£6956.03","£1544.33","£4765.49","75.52"
"PD109054PA-A","BUSH KIT TRAIL FLCA ASSEMBLY","24","£6638.28","£297.50","£6935.78","£6656.25","£-17.97","-0.27"
"PD61551PA-X","REAR SPRING UPPER ISOLATOR","251","£6298.59","£616.37","£6914.96","£1819.75","£4478.84","71.11"
"235/70/15-X","GALAXY WHITE WALL","44","£6384.32","£526.02","£6910.34","£4593.40","£1790.92","28.05"
"GMHYDF-X","GEARBOX MASTER OVERHAUL KIT (4-SPEED)","9","£6789.32","£86.47","£6875.79","£5931.64","£857.68","12.63"
"3Z0615301A-X","FRONT ROTOR 348 X 34","38","£5963.18","£911.35","£6874.53","£1037.40","£4925.78","82.60"
"RE3236SA-X","CONNECTING ROD SHELL SET (12 SHELLS) STANDARD","29","£6170.78","£682.50","£6853.28","£545.58","£5625.20","91.16"
"UR70654SX-R","STEERING RACK RIGHT HAND PASSENGER","17","£6056.03","£766.91","£6822.94","£5663.50","£392.53","6.48"
"UE70616-X","FUEL INJECTOR","93","£6539.70","£237.61","£6777.31","£4090.60","£2449.10","37.45"
"UR1227-X","STEERING RAM PISTON RING","176","£5732.42","£1024.02","£6756.44","£1253.12","£4479.30","78.14"
"UE37810-X","WATERPUMP TWIN DRIVE BELT SET","451","£6114.18","£639.16","£6753.34","£2822.43","£3291.75","53.84"
"UE42285-X","COOLANT PUMP ASSEMBLY IMPELLOR","29","£6053.91","£686.38","£6740.29","£2300.60","£3753.31","62"
"UE4324-X","ROCKER COVER GASKET","552","£6451.17","£251.24","£6702.41","£2205.00","£4246.17","65.82"
"GMF1310-X","LOW PRESSURE HYDRAULIC PIPE HOSE","122","£5929.93","£744.82","£6674.75","£3924.98","£2004.95","33.81"
"SSHYDHSKT2-X","BRK AND HEIGHT CONTROL VALVE HOSE SET (RIGHT HAND DRIVE)","37","£6058.25","£609.57","£6667.82","£2230.10","£3828.15","63.19"
"UE3476-X","ENGINE MOUNT BLOCK","92","£6370.43","£271.25","£6641.68","£1058.00","£5312.43","83.39"
"UR10490PL-X","PIN, LOWER LEVER, REAR (POLYURETHANE)","87","£6274.57","£353.95","£6628.52","£3386.78","£2887.79","46.02"
"UE39519-SU","ACCUMMULATOR VALVE ASSEMBLY Surcharge","29","£5766.67","£833.33","£6600.00","£5800.00","£-33.33","-0.58"
"UR19480SX-R","VALVE DISTRIBUTOR LOWER","18","£6181.37","£414.12","£6595.49","£4362.81","£1818.56","29.42"
